tournament_id,match_id,stage,best_of,player1_name,player2_name,player1_score,player2_score,season,year,tournament_name,tournament_country,tournament_prize_pool,tournament_status,player1_country,player2_country,match_winner,match_winner_country,is_international_match,is_international_tournament
753,82716,Final,31,Terry Griffiths,Alex Higgins,16,15,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,Northern Ireland,Terry Griffiths,Wales,False,False
753,82718,Semi-final,17,Terry Griffiths,Tony Meo,9,7,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,England,Terry Griffiths,Wales,False,False
753,82717,Semi-final,17,Alex Higgins,Ray Reardon,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,Northern Ireland,Wales,Alex Higgins,Northern Ireland,False,False
753,82721,Quarter-final,17,Terry Griffiths,Steve Davis,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,England,Terry Griffiths,Wales,False,False
753,82719,Quarter-final,17,Alex Higgins,John Spencer,9,5,1982-1983,1982,UK Championship,England,47000.0,Professional,Northern Ireland,England,Alex Higgins,Northern Ireland,False,False
753,82722,Quarter-final,17,Tony Meo,John Virgo,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Tony Meo,England,False,False
753,82720,Quarter-final,17,Ray Reardon,Jimmy White,9,8,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,England,Ray Reardon,Wales,False,False
753,82728,Last 16,17,Steve Davis,Patsy Fagan,9,3,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Ireland,Steve Davis,England,False,False
753,82729,Last 16,17,Terry Griffiths,Dennis Taylor,9,7,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,Northern Ireland,Terry Griffiths,Wales,False,False
753,82723,Last 16,17,Alex Higgins,Dean Reynolds,9,8,1982-1983,1982,UK Championship,England,47000.0,Professional,Northern Ireland,England,Alex Higgins,Northern Ireland,False,False
753,82730,Last 16,17,Tony Meo,David Taylor,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Tony Meo,England,False,False
753,82727,Last 16,17,Ray Reardon,Mike Hallett,9,8,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,England,Ray Reardon,Wales,False,False
753,82725,Last 16,17,John Spencer,Tony Knowles,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,John Spencer,England,False,False
753,82726,Last 16,17,John Virgo,Doug Mountjoy,9,5,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Wales,John Virgo,England,False,False
753,82724,Last 16,17,Jimmy White,Cliff Wilson,9,5,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Wales,Jimmy White,England,False,False
753,82743,Last 32,17,Steve Davis,Rex Williams,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Steve Davis,England,False,False
753,82741,Last 32,17,Patsy Fagan,Bob Harris,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,Ireland,England,Patsy Fagan,Ireland,False,False
753,82744,Last 32,17,Terry Griffiths,Joe Johnson,9,1,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,England,Terry Griffiths,Wales,False,False
753,82740,Last 32,17,Mike Hallett,Fred Davis,9,7,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Mike Hallett,England,False,False
753,82731,Last 32,17,Alex Higgins,Dave Martin,9,7,1982-1983,1982,UK Championship,England,47000.0,Professional,Northern Ireland,England,Alex Higgins,Northern Ireland,False,False
753,82745,Last 32,17,Tony Knowles,Jim Donnelly,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Scotland,Tony Knowles,England,False,False
753,82746,Last 32,17,Tony Meo,Graham Miles,9,4,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Tony Meo,England,False,False
753,82736,Last 32,17,Doug Mountjoy,Pat Houlihan,9,3,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,England,Doug Mountjoy,Wales,False,False
753,82742,Last 32,17,Ray Reardon,Mark Wildman,9,5,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,England,Ray Reardon,Wales,False,False
753,82734,Last 32,17,Dean Reynolds,Mick Fisher,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Dean Reynolds,England,False,False
753,82738,Last 32,17,John Spencer,Eddie Sinclair,9,8,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Scotland,John Spencer,England,False,False
753,82733,Last 32,17,David Taylor,Les Dodd,9,7,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,David Taylor,England,False,False
753,82735,Last 32,17,Dennis Taylor,Jim Meadowcroft,9,7,1982-1983,1982,UK Championship,England,47000.0,Professional,Northern Ireland,England,Dennis Taylor,Northern Ireland,False,False
753,82739,Last 32,17,John Virgo,Billy Kelly,9,2,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Ireland,John Virgo,England,False,False
753,82737,Last 32,17,Jimmy White,Paul Medati,9,7,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Jimmy White,England,False,False
753,82732,Last 32,17,Cliff Wilson,Willie Thorne,9,7,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,England,Cliff Wilson,Wales,False,False
753,82755,Last 48,17,Les Dodd,Doug French,9,7,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Les Dodd,England,False,False
753,82752,Last 48,17,Jim Donnelly,Chris Ross,9,5,1982-1983,1982,UK Championship,England,47000.0,Professional,Scotland,Scotland,Jim Donnelly,Scotland,False,False
753,82757,Last 48,17,Mick Fisher,Ray Edmonds,9,8,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Mick Fisher,England,False,False
753,82758,Last 48,17,Mike Hallett,Bert Demarco,9,1,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Scotland,Mike Hallett,England,False,False
753,82748,Last 48,17,Bob Harris,Mike Watterson,9,3,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Bob Harris,England,False,False
753,82759,Last 48,17,Pat Houlihan,John Dunning,0,0,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,John Dunning,England,False,False
753,82754,Last 48,17,Joe Johnson,Vic Harris,9,8,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Joe Johnson,England,False,False
753,82763,Last 48,17,Billy Kelly,Jack Fitzmaurice,9,0,1982-1983,1982,UK Championship,England,47000.0,Professional,Ireland,England,Billy Kelly,Ireland,False,False
753,82750,Last 48,17,Dave Martin,Murdo Macleod,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Scotland,Dave Martin,England,False,False
753,82753,Last 48,17,Jim Meadowcroft,Dennis Hughes,9,8,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Jim Meadowcroft,England,False,False
753,82760,Last 48,17,Paul Medati,Bernard Bennett,9,1,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Paul Medati,England,False,False
753,82762,Last 48,17,Tony Meo,George Scott,9,5,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Tony Meo,England,False,False
753,82751,Last 48,17,Eddie Sinclair,Tommy Murphy,9,5,1982-1983,1982,UK Championship,England,47000.0,Professional,Scotland,Northern Ireland,Eddie Sinclair,Scotland,False,False
753,82756,Last 48,17,Mark Wildman,Colin Roscoe,9,4,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Wales,Mark Wildman,England,False,False
753,82761,Last 48,17,Rex Williams,Geoff Foulds,9,7,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Rex Williams,England,False,False
753,82749,Last 48,17,Cliff Wilson,Eddie McLaughlin,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,Scotland,Cliff Wilson,Wales,False,False
753,82764,Round 1,17,Bernard Bennett,John Phillips,0,0,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Scotland,John Phillips,Scotland,False,False
753,82768,Round 1,17,Les Dodd,Ian Williamson,9,1,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Les Dodd,England,False,False
753,82769,Round 1,17,Mick Fisher,Ian Black,9,3,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Scotland,Mick Fisher,England,False,False
753,82767,Round 1,17,Geoff Foulds,Matt Gibson,9,3,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Scotland,Geoff Foulds,England,False,False
753,82765,Round 1,17,Bob Harris,Graham Cripsey,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,England,England,Bob Harris,England,False,False
753,82771,Round 1,17,Vic Harris,Marcus Owen,9,4,1982-1983,1982,UK Championship,England,47000.0,Professional,England,Wales,Vic Harris,England,False,False
753,82770,Round 1,17,Tommy Murphy,Clive Everton,9,4,1982-1983,1982,UK Championship,England,47000.0,Professional,Northern Ireland,Wales,Tommy Murphy,Northern Ireland,False,False
753,82766,Round 1,17,Colin Roscoe,Jackie Rea,9,6,1982-1983,1982,UK Championship,England,47000.0,Professional,Wales,Northern Ireland,Colin Roscoe,Wales,False,False
772,83328,Final,35,Alex Higgins,Ray Reardon,18,15,1981-1982,1982,World Championship,England,110000.0,Professional,Northern Ireland,Wales,Alex Higgins,Northern Ireland,False,False
772,83329,Semi-final,31,Alex Higgins,Jimmy White,16,15,1981-1982,1982,World Championship,England,110000.0,Professional,Northern Ireland,England,Alex Higgins,Northern Ireland,False,False
772,83330,Semi-final,31,Ray Reardon,Eddie Charlton,16,11,1981-1982,1982,World Championship,England,110000.0,Professional,Wales,Australia,Ray Reardon,Wales,True,False
772,83332,Quarter-final,25,Eddie Charlton,Tony Knowles,13,11,1981-1982,1982,World Championship,England,110000.0,Professional,Australia,England,Eddie Charlton,Australia,True,False
772,83331,Quarter-final,25,Alex Higgins,Willie Thorne,13,10,1981-1982,1982,World Championship,England,110000.0,Professional,Northern Ireland,England,Alex Higgins,Northern Ireland,False,False
772,83334,Quarter-final,25,Ray Reardon,Silvino Francisco,13,8,1981-1982,1982,World Championship,England,110000.0,Professional,Wales,South Africa,Ray Reardon,Wales,True,False
772,83333,Quarter-final,25,Jimmy White,Kirk Stevens,13,9,1981-1982,1982,World Championship,England,110000.0,Professional,England,Canada,Jimmy White,England,True,False
772,83336,Last 16,25,Eddie Charlton,Bill Werbeniuk,13,5,1981-1982,1982,World Championship,England,110000.0,Professional,Australia,Canada,Eddie Charlton,Australia,True,False
772,83340,Last 16,25,Silvino Francisco,Dean Reynolds,13,8,1981-1982,1982,World Championship,England,110000.0,Professional,South Africa,England,Silvino Francisco,South Africa,True,False
772,83335,Last 16,25,Alex Higgins,Doug Mountjoy,13,12,1981-1982,1982,World Championship,England,110000.0,Professional,Northern Ireland,Wales,Alex Higgins,Northern Ireland,False,False
772,83341,Last 16,25,Tony Knowles,Graham Miles,13,7,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Tony Knowles,England,False,False
772,83339,Last 16,25,Ray Reardon,John Virgo,13,8,1981-1982,1982,World Championship,England,110000.0,Professional,Wales,England,Ray Reardon,Wales,False,False
772,83338,Last 16,25,Kirk Stevens,Patsy Fagan,13,7,1981-1982,1982,World Championship,England,110000.0,Professional,Canada,Ireland,Kirk Stevens,Canada,True,False
772,83342,Last 16,25,Willie Thorne,John Spencer,13,5,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Willie Thorne,England,False,False
772,83337,Last 16,25,Jimmy White,Perrie Mans,13,6,1981-1982,1982,World Championship,England,110000.0,Professional,England,South Africa,Jimmy White,England,True,False
772,83347,Last 32,19,Eddie Charlton,Cliff Wilson,10,5,1981-1982,1982,World Championship,England,110000.0,Professional,Australia,Wales,Eddie Charlton,Australia,True,False
772,83353,Last 32,19,Patsy Fagan,David Taylor,10,9,1981-1982,1982,World Championship,England,110000.0,Professional,Ireland,England,Patsy Fagan,Ireland,False,False
772,83356,Last 32,19,Silvino Francisco,Dennis Taylor,10,7,1981-1982,1982,World Championship,England,110000.0,Professional,South Africa,Northern Ireland,Silvino Francisco,South Africa,True,False
772,83343,Last 32,19,Alex Higgins,Jim Meadowcroft,10,5,1981-1982,1982,World Championship,England,110000.0,Professional,Northern Ireland,England,Alex Higgins,Northern Ireland,False,False
772,83357,Last 32,19,Tony Knowles,Steve Davis,10,1,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Tony Knowles,England,False,False
772,83354,Last 32,19,Perrie Mans,Tony Meo,10,8,1981-1982,1982,World Championship,England,110000.0,Professional,South Africa,England,Perrie Mans,South Africa,True,False
772,83348,Last 32,19,Graham Miles,Dave Martin,10,5,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Graham Miles,England,False,False
772,83346,Last 32,19,Doug Mountjoy,Rex Williams,10,3,1981-1982,1982,World Championship,England,110000.0,Professional,Wales,England,Doug Mountjoy,Wales,False,False
772,83355,Last 32,19,Ray Reardon,Jim Donnelly,10,5,1981-1982,1982,World Championship,England,110000.0,Professional,Wales,Scotland,Ray Reardon,Wales,False,False
772,83345,Last 32,19,Dean Reynolds,Fred Davis,10,7,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Dean Reynolds,England,False,False
772,83350,Last 32,19,John Spencer,John Dunning,10,4,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,John Spencer,England,False,False
772,83352,Last 32,19,Kirk Stevens,Jack Fitzmaurice,10,4,1981-1982,1982,World Championship,England,110000.0,Professional,Canada,England,Kirk Stevens,Canada,True,False
772,83358,Last 32,19,Willie Thorne,Terry Griffiths,10,6,1981-1982,1982,World Championship,England,110000.0,Professional,England,Wales,Willie Thorne,England,False,False
772,83351,Last 32,19,John Virgo,Mike Hallett,10,4,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,John Virgo,England,False,False
772,83344,Last 32,19,Bill Werbeniuk,John Bear,10,7,1981-1982,1982,World Championship,England,110000.0,Professional,Canada,Canada,Bill Werbeniuk,Canada,True,False
772,83349,Last 32,19,Jimmy White,Cliff Thorburn,10,4,1981-1982,1982,World Championship,England,110000.0,Professional,England,Canada,Jimmy White,England,True,False
772,83366,Last 48,17,John Bear,Jim Wych,9,4,1981-1982,1982,World Championship,England,110000.0,Professional,Canada,Canada,John Bear,Canada,True,False
772,83363,Last 48,17,Jim Donnelly,Eddie Sinclair,9,8,1981-1982,1982,World Championship,England,110000.0,Professional,Scotland,Scotland,Jim Donnelly,Scotland,False,False
772,83367,Last 48,17,John Dunning,Murdo Macleod,9,4,1981-1982,1982,World Championship,England,110000.0,Professional,England,Scotland,John Dunning,England,False,False
772,83369,Last 48,17,Patsy Fagan,Doug French,9,6,1981-1982,1982,World Championship,England,110000.0,Professional,Ireland,England,Patsy Fagan,Ireland,False,False
772,83362,Last 48,17,Jack Fitzmaurice,Mario Morra,9,7,1981-1982,1982,World Championship,England,110000.0,Professional,England,Canada,Jack Fitzmaurice,England,True,False
772,83371,Last 48,17,Silvino Francisco,Paddy Morgan,9,1,1981-1982,1982,World Championship,England,110000.0,Professional,South Africa,Australia,Silvino Francisco,South Africa,True,False
772,83368,Last 48,17,Mike Hallett,Joe Johnson,9,8,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Mike Hallett,England,False,False
772,83372,Last 48,17,Tony Knowles,Eugene Hughes,9,7,1981-1982,1982,World Championship,England,110000.0,Professional,England,Ireland,Tony Knowles,England,False,False
772,83360,Last 48,17,Dave Martin,Pat Houlihan,9,3,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Dave Martin,England,False,False
772,83364,Last 48,17,Jim Meadowcroft,Mike Watterson,9,7,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Jim Meadowcroft,England,False,False
772,83373,Last 48,17,Tony Meo,Dennis Hughes,9,4,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Tony Meo,England,False,False
772,83361,Last 48,17,Dean Reynolds,Ray Edmonds,9,6,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Dean Reynolds,England,False,False
772,83374,Last 48,17,Willie Thorne,Colin Roscoe,9,1,1981-1982,1982,World Championship,England,110000.0,Professional,England,Wales,Willie Thorne,England,False,False
772,83365,Last 48,17,Jimmy White,Mark Wildman,9,4,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Jimmy White,England,False,False
772,83370,Last 48,17,Rex Williams,Ian Black,9,2,1981-1982,1982,World Championship,England,110000.0,Professional,England,Scotland,Rex Williams,England,False,False
772,83359,Last 48,17,Cliff Wilson,Paul Medati,9,5,1981-1982,1982,World Championship,England,110000.0,Professional,Wales,England,Cliff Wilson,Wales,False,False
772,83385,Round 1,17,John Bear,Frank Jonik,9,4,1981-1982,1982,World Championship,England,110000.0,Professional,Canada,Canada,John Bear,Canada,True,False
772,83381,Round 1,17,Ian Black,Maurice Parkin,9,6,1981-1982,1982,World Championship,England,110000.0,Professional,Scotland,England,Ian Black,Scotland,False,False
772,83383,Round 1,17,Jim Donnelly,Matt Gibson,9,8,1981-1982,1982,World Championship,England,110000.0,Professional,Scotland,Scotland,Jim Donnelly,Scotland,False,False
772,83382,Round 1,17,Jack Fitzmaurice,John Pulman,0,0,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,John Pulman,England,False,False
772,83393,Round 1,17,Silvino Francisco,Chris Ross,9,0,1981-1982,1982,World Championship,England,110000.0,Professional,South Africa,Scotland,Silvino Francisco,South Africa,True,False
772,83378,Round 1,17,Doug French,Bernard Bennett,9,3,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Doug French,England,False,False
772,83391,Round 1,17,Pat Houlihan,Ian Anderson,9,5,1981-1982,1982,World Championship,England,110000.0,Professional,England,Australia,Pat Houlihan,England,True,False
772,83377,Round 1,17,Dennis Hughes,Clive Everton,9,4,1981-1982,1982,World Championship,England,110000.0,Professional,England,Wales,Dennis Hughes,England,False,False
772,83380,Round 1,17,Eugene Hughes,Derek Mienie,0,0,1981-1982,1982,World Championship,England,110000.0,Professional,Ireland,South Africa,Derek Mienie,South Africa,True,False
772,83384,Round 1,17,Joe Johnson,Vic Harris,9,4,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Joe Johnson,England,False,False
772,83389,Round 1,17,Murdo Macleod,Eddie McLaughlin,9,8,1981-1982,1982,World Championship,England,110000.0,Professional,Scotland,Scotland,Murdo Macleod,Scotland,False,False
772,83392,Round 1,17,Paul Medati,John Phillips,9,3,1981-1982,1982,World Championship,England,110000.0,Professional,England,Scotland,Paul Medati,England,False,False
772,83390,Round 1,17,Paddy Morgan,David Greaves,9,2,1981-1982,1982,World Championship,England,110000.0,Professional,Australia,England,Paddy Morgan,Australia,True,False
772,83386,Round 1,17,Mario Morra,Tommy Murphy,9,5,1981-1982,1982,World Championship,England,110000.0,Professional,Canada,Northern Ireland,Mario Morra,Canada,True,False
772,83376,Round 1,17,Dean Reynolds,Dessie Sheehan,9,5,1981-1982,1982,World Championship,England,110000.0,Professional,England,Ireland,Dean Reynolds,England,False,False
772,83375,Round 1,17,Colin Roscoe,Bernie Mikkelsen,9,6,1981-1982,1982,World Championship,England,110000.0,Professional,Wales,Canada,Colin Roscoe,Wales,True,False
772,83379,Round 1,17,Eddie Sinclair,Billy Kelly,9,8,1981-1982,1982,World Championship,England,110000.0,Professional,Scotland,Ireland,Eddie Sinclair,Scotland,False,False
772,83388,Round 1,17,Mike Watterson,Bert Demarco,9,6,1981-1982,1982,World Championship,England,110000.0,Professional,England,Scotland,Mike Watterson,England,False,False
772,83387,Round 1,17,Mark Wildman,Geoff Foulds,9,8,1981-1982,1982,World Championship,England,110000.0,Professional,England,England,Mark Wildman,England,False,False
778,83573,Final,17,Steve Davis,Terry Griffiths,9,5,1981-1982,1982,Masters,England,27000.0,Professional,England,Wales,Steve Davis,England,False,False
778,83574,Semi-final,11,Steve Davis,Tony Meo,6,4,1981-1982,1982,Masters,England,27000.0,Professional,England,England,Steve Davis,England,False,False
778,83575,Semi-final,11,Terry Griffiths,Alex Higgins,6,4,1981-1982,1982,Masters,England,27000.0,Professional,Wales,Northern Ireland,Terry Griffiths,Wales,False,False
778,83577,Quarter-final,9,Steve Davis,Doug Mountjoy,5,2,1981-1982,1982,Masters,England,27000.0,Professional,England,Wales,Steve Davis,England,False,False
778,83578,Quarter-final,9,Terry Griffiths,Ray Reardon,5,3,1981-1982,1982,Masters,England,27000.0,Professional,Wales,Wales,Terry Griffiths,Wales,False,False
778,83576,Quarter-final,9,Alex Higgins,Eddie Charlton,5,1,1981-1982,1982,Masters,England,27000.0,Professional,Northern Ireland,Australia,Alex Higgins,Northern Ireland,True,False
778,83579,Quarter-final,9,Tony Meo,Cliff Thorburn,5,0,1981-1982,1982,Masters,England,27000.0,Professional,England,Canada,Tony Meo,England,True,False
778,83581,Round 1,9,Eddie Charlton,Jimmy White,5,4,1981-1982,1982,Masters,England,27000.0,Professional,Australia,England,Eddie Charlton,Australia,True,False
778,83583,Round 1,9,Tony Meo,David Taylor,5,2,1981-1982,1982,Masters,England,27000.0,Professional,England,England,Tony Meo,England,False,False
778,83580,Round 1,9,Doug Mountjoy,John Spencer,5,4,1981-1982,1982,Masters,England,27000.0,Professional,Wales,England,Doug Mountjoy,Wales,False,False
778,83582,Round 1,9,Ray Reardon,Dennis Taylor,5,3,1981-1982,1982,Masters,England,27000.0,Professional,Wales,Northern Ireland,Ray Reardon,Wales,False,False
734,82106,Final,31,Alex Higgins,Steve Davis,16,15,1983-1984,1983,UK Championship,England,58800.0,Professional,Northern Ireland,England,Alex Higgins,Northern Ireland,False,False
734,82110,Semi-final,17,Steve Davis,Jimmy White,9,4,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Steve Davis,England,False,False
734,82109,Semi-final,17,Alex Higgins,Terry Griffiths,9,4,1983-1984,1983,UK Championship,England,58800.0,Professional,Northern Ireland,Wales,Alex Higgins,Northern Ireland,False,False
734,82113,Quarter-final,17,Steve Davis,Tony Meo,9,4,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Steve Davis,England,False,False
734,82114,Quarter-final,17,Terry Griffiths,Joe Johnson,9,2,1983-1984,1983,UK Championship,England,58800.0,Professional,Wales,England,Terry Griffiths,Wales,False,False
734,82111,Quarter-final,17,Alex Higgins,Tony Knowles,9,5,1983-1984,1983,UK Championship,England,58800.0,Professional,Northern Ireland,England,Alex Higgins,Northern Ireland,False,False
734,82112,Quarter-final,17,Jimmy White,Ray Reardon,9,4,1983-1984,1983,UK Championship,England,58800.0,Professional,England,Wales,Jimmy White,England,False,False
734,82119,Last 16,17,Steve Davis,Willie Thorne,9,3,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Steve Davis,England,False,False
734,82120,Last 16,17,Terry Griffiths,Mike Hallett,9,5,1983-1984,1983,UK Championship,England,58800.0,Professional,Wales,England,Terry Griffiths,Wales,False,False
734,82115,Last 16,17,Alex Higgins,Paul Medati,9,1,1983-1984,1983,UK Championship,England,58800.0,Professional,Northern Ireland,England,Alex Higgins,Northern Ireland,False,False
734,82117,Last 16,17,Joe Johnson,David Taylor,9,3,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Joe Johnson,England,False,False
734,82121,Last 16,17,Tony Knowles,Doug Mountjoy,9,5,1983-1984,1983,UK Championship,England,58800.0,Professional,England,Wales,Tony Knowles,England,False,False
734,82122,Last 16,17,Tony Meo,John Spencer,9,5,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Tony Meo,England,False,False
734,82118,Last 16,17,Ray Reardon,Cliff Wilson,9,4,1983-1984,1983,UK Championship,England,58800.0,Professional,Wales,Wales,Ray Reardon,Wales,False,False
734,82116,Last 16,17,Jimmy White,Dennis Taylor,9,4,1983-1984,1983,UK Championship,England,58800.0,Professional,England,Northern Ireland,Jimmy White,England,False,False
734,82134,Last 32,17,Steve Davis,Geoff Foulds,9,1,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Steve Davis,England,False,False
734,82135,Last 32,17,Terry Griffiths,Dave Martin,9,4,1983-1984,1983,UK Championship,England,58800.0,Professional,Wales,England,Terry Griffiths,Wales,False,False
734,82131,Last 32,17,Mike Hallett,Graham Miles,9,4,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Mike Hallett,England,False,False
734,82123,Last 32,17,Alex Higgins,Murdo Macleod,9,6,1983-1984,1983,UK Championship,England,58800.0,Professional,Northern Ireland,Scotland,Alex Higgins,Northern Ireland,False,False
734,82129,Last 32,17,Joe Johnson,John Virgo,9,6,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Joe Johnson,England,False,False
734,82136,Last 32,17,Tony Knowles,Tony Jones,9,5,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Tony Knowles,England,False,False
734,82132,Last 32,17,Paul Medati,Dean Reynolds,9,3,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Paul Medati,England,False,False
734,82137,Last 32,17,Tony Meo,John Parrott,9,7,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Tony Meo,England,False,False
734,82127,Last 32,17,Doug Mountjoy,Mike Watterson,9,2,1983-1984,1983,UK Championship,England,58800.0,Professional,Wales,England,Doug Mountjoy,Wales,False,False
734,82133,Last 32,17,Ray Reardon,Bob Harris,9,7,1983-1984,1983,UK Championship,England,58800.0,Professional,Wales,England,Ray Reardon,Wales,False,False
734,82130,Last 32,17,John Spencer,John Dunning,9,7,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,John Spencer,England,False,False
734,82125,Last 32,17,David Taylor,Neal Foulds,9,4,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,David Taylor,England,False,False
734,82126,Last 32,17,Dennis Taylor,Tommy Murphy,9,6,1983-1984,1983,UK Championship,England,58800.0,Professional,Northern Ireland,Northern Ireland,Dennis Taylor,Northern Ireland,False,False
734,82138,Last 32,17,Willie Thorne,Mark Wildman,9,5,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Willie Thorne,England,False,False
734,82128,Last 32,17,Jimmy White,Ian Black,9,1,1983-1984,1983,UK Championship,England,58800.0,Professional,England,Scotland,Jimmy White,England,False,False
734,82124,Last 32,17,Cliff Wilson,Rex Williams,9,4,1983-1984,1983,UK Championship,England,58800.0,Professional,Wales,England,Cliff Wilson,Wales,False,False
734,82142,Last 48,17,Ian Black,Ian Williamson,9,6,1983-1984,1983,UK Championship,England,58800.0,Professional,Scotland,England,Ian Black,Scotland,False,False
734,82144,Last 48,17,John Dunning,Roy Andrewartha,9,2,1983-1984,1983,UK Championship,England,58800.0,Professional,England,Wales,John Dunning,England,False,False
734,82141,Last 48,17,Geoff Foulds,Les Dodd,9,7,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Geoff Foulds,England,False,False
734,82150,Last 48,17,Neal Foulds,Jim Meadowcroft,9,2,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Neal Foulds,England,False,False
734,82147,Last 48,17,Mike Hallett,Mike Darrington,9,1,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Mike Hallett,England,False,False
734,82139,Last 48,17,Bob Harris,Jack Fitzmaurice,9,3,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Bob Harris,England,False,False
734,82143,Last 48,17,Joe Johnson,Matt Gibson,9,6,1983-1984,1983,UK Championship,England,58800.0,Professional,England,Scotland,Joe Johnson,England,False,False
734,82154,Last 48,17,Tony Jones,Eddie Sinclair,9,3,1983-1984,1983,UK Championship,England,58800.0,Professional,England,Scotland,Tony Jones,England,False,False
734,82149,Last 48,17,Murdo Macleod,Bernard Bennett,9,0,1983-1984,1983,UK Championship,England,58800.0,Professional,Scotland,England,Murdo Macleod,Scotland,False,False
734,82140,Last 48,17,Dave Martin,Doug French,9,3,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Dave Martin,England,False,False
734,82151,Last 48,17,Paul Medati,Ray Edmonds,9,7,1983-1984,1983,UK Championship,England,58800.0,Professional,England,England,Paul Medati,England,False,False
